sequenceID	locus_numeric_id	ehbv-element-stem	host_species	host_class	host_superorder	major_clade	middle_clade	minor_clade	host_order	host_family	host_genus	target_version	target_name	scaffold	orientation	extract_start	extract_end	sequence_length	locus_name	virus_genus	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches
ehbv-avi.1-Leptosomus_discolor	1	ehbv-avi.1	Leptosomus_discolor	Aves	Neognathae	Neoaves	Inopaves	Coraciimorphae	Coraciiformes	Leptosomidae	Leptosomus	bgi_2011-10-28	Leptosomus_discolor.scaf.noBacterial.fa	scaffold6175	-	11470	14431	2962	avi.1-neoaves	Avihepadnavirus	437	766	1296	2297	336	501	76.786	0	1	3	0
ehbv-avi.1-Spheniscus_humboldti	1	ehbv-avi.1	Spheniscus_humboldti	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Sphenisciformes	Spheniscidae	Spheniscus	ASM326454v1	GCA_003264545.1_ASM326454v1_genomic.fna	NDHA01001273.1	-	3102676	3106301	3626	avi.1-neoaves	Avihepadnavirus	678	966	2708	3559	289	496	84.775	0	1	1	0
ehbv-avi.1-Spheniscus_mendiculus	1	ehbv-avi.1	Spheniscus_mendiculus	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Sphenisciformes	Spheniscidae	Spheniscus	ASM326465v1	GCA_003264655.1_ASM326465v1_genomic.fna	NDGW01001273.1	-	3102675	3106213	3539	avi.1-neoaves	Avihepadnavirus	674	934	2609	3391	261	493	90.805	1.72	165	0	0
ehbv-avi.1-Spheniscus_magellanicus	1	ehbv-avi.1	Spheniscus_magellanicus	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Sphenisciformes	Spheniscidae	Spheniscus	ASM326471v1	GCA_003264715.1_ASM326471v1_genomic.fna	NDGX01001273.1	-	3102824	3106449	3626	avi.1-neoaves	Avihepadnavirus	678	966	2708	3559	289	491	84.083	0	1	1	0
ehbv-avi.1-Mesitornis_unicolor	1	ehbv-avi.1	Mesitornis_unicolor	Aves	Neognathae	Neoaves	NULL	NULL	Gruiformes	Mesitornithidae	Mesitornis	bgi_2011-10-28	Mesitornis_unicolor.scaf.noBacterial.fa	scaffold28184	+	12472	15117	2646	avi.1-neoaves	Avihepadnavirus	432	937	1162	2625	512	486	56.25	0	1	7	0
ehbv-avi.1-Pygoscelis_adeliae	1	ehbv-avi.1	Pygoscelis_adeliae	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Sphenisciformes	Spheniscidae	Pygoscelis	bgi_2011-10-28	Pygoscelis_adeliae.scaf.fa	Scaffold14	-	3102898	3106436	3539	avi.1-neoaves	Avihepadnavirus	674	937	2609	3400	264	486	88.258	1.48	163	0	0
ehbv-avi.1-Pygoscelis_papua	1	ehbv-avi.1	Pygoscelis_papua	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Sphenisciformes	Spheniscidae	Pygoscelis	ASM326461v1	GCA_003264615.1_ASM326461v1_genomic.fna	NDHF01001273.1	-	3102890	3106428	3539	avi.1-neoaves	Avihepadnavirus	674	937	2609	3400	264	486	88.258	1.73	162	0	0
ehbv-avi.1-Pygoscelis_antarcticus	1	ehbv-avi.1	Pygoscelis_antarcticus	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Sphenisciformes	Spheniscidae	Pygoscelis	ASM326459v1	GCA_003264595.1_ASM326459v1_genomic.fna	NDHD01001273.1	-	3102601	3106139	3539	avi.1-neoaves	Avihepadnavirus	674	937	2609	3400	264	479	87.121	1.7	161	0	0
ehbv-avi.1-Aquila_chrysaetos_canadensis	1	ehbv-avi.1	Aquila_chrysaetos_canadensis	Aves	Neognathae	Neoaves	NULL	NULL	Accipitriformes	Accipitridae	Aquila	ncbi_100	216574_ref_Aquila_chrysaetos-1.0.2_chrUn.fa	gi|766829346|ref|NW_011950900.1|	+	6651302	6654251	2950	avi.1-neoaves	Avihepadnavirus	732	983	2195	2950	252	464	89.683	0	1	0	0
ehbv-avi.1-Balearica_regulorum	1	ehbv-avi.1	Balearica_regulorum	Aves	Neognathae	Neoaves	NULL	NULL	Gruiformes	Gruidae	Balearica	bgi_2011-10-28	Balearica_regulorum_gibbericeps.scaf.noBacterial.fa	scaffold1498	-	39631	41577	1947	avi.1-neoaves	Avihepadnavirus	63	651	165	1943	620	464	53.387	1.75	154	15	0
ehbv-avi.1-Calidris_pugnax	1	ehbv-avi.1	Calidris_pugnax	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Charadriiformes	Scolopacidae	Calidris	ASM143184v1	198806_ref_ASM143184v1_chrUn.fa	gi|960494929|ref|NW_015094510.1|	-	22015567	22018378	2812	avi.1-neoaves	Avihepadnavirus	389	879	1066	2553	511	462	55.577	5.68	169	10	0
ehbv-avi.1-Aptenodytes_forsteri	1	ehbv-avi.1	Aptenodytes_forsteri	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Sphenisciformes	Spheniscidae	Aptenodytes	bgi_2011-10-28	Aptenodytes_forsteri.scaf.fa	Scaffold155	-	5621938	5624887	2950	avi.1-neoaves	Avihepadnavirus	704	934	2110	2802	231	460	94.805	0	1	0	0
ehbv-avi.1-Gavia_stellata	1	ehbv-avi.1	Gavia_stellata	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Gaviiformes	Gaviidae	Gavia	bgi_2011-10-28	Gavia_stellata.scaf.noBacterial.fa	scaffold17967	-	65743	68577	2835	avi.1-neoaves	Avihepadnavirus	676	934	1914	2690	259	454	84.556	1.49	152	0	0
ehbv-avi.1-Ciconia_boyciana	1	ehbv-avi.1	Ciconia_boyciana	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Ciconiiformes	Ciconiidae	Ciconia	ver1.0	GCA_002002965.1_Ciconia_boyciana_ver1.0_genomic.fna	BDFF01094061.1	+	35890	37840	1951	avi.1-neoaves	Avihepadnavirus	706	934	1117	1803	229	441	92.14	1.24	145	0	0
ehbv-avi.1-Cathartes_aura	1	ehbv-avi.1	Cathartes_aura	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Ciconiiformes	Cathartidae	Cathartes	bgi_2011-10-28	Cathartes_aura.scaf.noBacterial.fa	scaffold19789	-	37367	40319	2953	avi.1-neoaves	Avihepadnavirus	733	972	2180	2899	240	440	90.833	0	1	0	0
ehbv-avi.1-Parotia_lawesii	1	ehbv-avi.1	Parotia_lawesii	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Paradisaeidae	Parotia	GCA_003713295	GCA_003713295.1_ParLaw_1.0_genomic.fna	RAHM01000055.1	-	1995688	1999228	3541	avi.1-neoaves	Avihepadnavirus	601	974	2417	3541	376	439	63.83	6.36	139	3	0
ehbv-avi.1-Merops_nubicus	1	ehbv-avi.1	Merops_nubicus	Aves	Neognathae	Neoaves	Inopaves	Coraciimorphae	Coraciiformes	Meropidae	Merops	bgi_2011-10-28	Merops_nubicus.scaf.noBacterial.fa	scaffold9374	-	101938	104720	2783	avi.1-neoaves	Avihepadnavirus	438	844	1160	2368	415	428	61.205	0	1	8	0
ehbv-avi.1-Uria_lomvia	1	ehbv-avi.1	Uria_lomvia	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Charadriiformes	Alcidae	Uria	UriLom_1.1	GCA_002289315.1_UriLom_1.1_genomic.fna	NOXD01000015.1	-	3125959	3128904	2946	avi.1-neoaves	Avihepadnavirus	684	918	2051	2752	235	423	87.66	0	1	1	0
ehbv-avi.1-Paradisaea_raggiana	1	ehbv-avi.1	Paradisaea_raggiana	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Paradisaeidae	Paradisaea	GCA_003713265	GCA_003713265.1_ParRag_1.0_genomic.fna	RAHK01000163.1	-	1235062	1238600	3539	avi.1-neoaves	Avihepadnavirus	561	974	2298	3539	432	417	56.019	4.93	162	7	0
ehbv-avi.1-Podiceps_cristatus	1	ehbv-avi.1	Podiceps_cristatus	Aves	Neognathae	Neoaves	NULL	NULL	Podicipediformes	Podicipedidae	Podiceps	bgi_2011-10-28	Podiceps_cristatus.scaf.noBacterial.fa	scaffold11994	+	28003	30929	2927	avi.1-neoaves	Avihepadnavirus	745	983	2211	2927	239	412	82.008	0	1	0	0
ehbv-avi.1-Acridotheres_javanicus	1	ehbv-avi.1	Acridotheres_javanicus	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Sturnidae	Acridotheres	ASM284967v1	GCA_002849675.1_ASM284967v1_genomic.fna	PEJO01000017.1	+	295613	297142	1530	avi.1-neoaves	Avihepadnavirus	616	983	436	1530	375	395	58.4	4.6	130	6	0
ehbv-avi.1-Antigone_vipio	1	ehbv-avi.1	Antigone_vipio	Aves	Neognathae	Neoaves	NULL	NULL	Gruiformes	Gruidae	Antigone	Gvipio_1.0	GCA_012488435.1_Gvipio_1.0_genomic.fna	BJEU01003050.1	-	82350	85298	2949	avi.1-neoaves	Avihepadnavirus	702	983	2110	2949	289	390	70.242	0	1	4	0
ehbv-avi.1-Grus_japonensis	1	ehbv-avi.1	Grus_japonensis	Aves	Neognathae	Neoaves	NULL	NULL	Gruiformes	Gruidae	Grus	ver1.0	GCA_002002985.1_Grus_japonensis_ver1.0_genomic.fna	BDFG01003452.1	+	12615	15566	2952	avi.1-neoaves	Avihepadnavirus	702	983	2113	2952	289	382	70.242	0	1	5	0
ehbv-avi.1-Diphyllodes_magnificus	1	ehbv-avi.1	Diphyllodes_magnificus	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Paradisaeidae	Diphyllodes	GCA_003713285.1	GCA_003713285.1_DipMag_1.0_genomic.fna	RAHO01000055.1	+	2489009	2492549	3541	avi.1-neoaves	Avihepadnavirus	732	974	2813	3541	243	382	77.778	1.2	174	0	0
ehbv-avi.1-Grus_monacha	1	ehbv-avi.1	Grus_monacha	Aves	Neognathae	Neoaves	NULL	NULL	Gruiformes	Gruidae	Grus	Gmonacha_1.0	GCA_012487855.1_Gmonacha_1.0_genomic.fna	BJET01002884.1	-	50307	53255	2949	avi.1-neoaves	Avihepadnavirus	702	983	2110	2949	289	374	68.166	0	1	4	0
ehbv-avi.1-Limosa_lapponica_baueri	1	ehbv-avi.1	Limosa_lapponica_baueri	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Charadriiformes	Scolopacidae	Limosa	Godwit_v1	GCA_002844005.1_Godwit_v1_genomic.fna	KZ508325.1	-	21307	23450	2144	avi.1-neoaves	Avihepadnavirus	53	529	1	1440	492	368	51.22	3.16	171	10	0
ehbv-avi.1-Chlamydotis_macqueenii	1	ehbv-avi.1	Chlamydotis_macqueenii	Aves	Neognathae	Neoaves	NULL	NULL	Gruiformes	Otididae	Chlamydotis	ASM69519v1	187382_ref_ASM69519v1_chrUn.fa	gi|702204593|ref|NW_010470167.1|	-	64613	67039	2427	avi.1-neoaves	Avihepadnavirus	301	681	412	1536	400	363	50.75	0	1	7	0
ehbv-avi.1-Chlamydotis_undulata	1	ehbv-avi.1	Chlamydotis_undulata	Aves	Neognathae	Neoaves	NULL	NULL	Gruiformes	Otididae	Chlamydotis	bgi_2011-10-28	Chlamydotis_undulata.scaf.noBacterial.fa	scaffold36512	-	64613	67039	2427	avi.1-neoaves	Avihepadnavirus	301	681	412	1536	400	363	50.75	0	1	7	0
ehbv-avi.1-Picoides_pubescens	1	ehbv-avi.1	Picoides_pubescens	Aves	Neognathae	Neoaves	Inopaves	Coraciimorphae	Piciformes	Picidae	Picoides	bgi_2011-10-28	Picoides_pubescens.scaf.noBacterial.fa	scaffold148	+	2440298	2444072	3775	avi.1-neoaves	Avihepadnavirus	596	974	2594	3721	393	362	55.98	9	110	9	0
ehbv-avi.1-Cicinnurus_regius	1	ehbv-avi.1	Cicinnurus_regius	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Paradisaeidae	Cicinnurus	GCA_003713305.1	GCA_003713305.1_CicReg_1.0_genomic.fna	RAHN01000030.1	+	2487425	2490954	3530	avi.1-neoaves	Avihepadnavirus	732	974	2811	3530	243	359	75.309	0	1	1	0
ehbv-avi.1-Pterocles_gutturalis	1	ehbv-avi.1	Pterocles_gutturalis	Aves	Neognathae	Neoaves	NULL	Columbaves	Pterocliformes	Pteroclidae	Pterocles	bgi_2011-10-28	Pterocles_guturalis.scaf.noBacterial.fa	scaffold28936	-	89270	92028	2759	avi.1-neoaves	Avihepadnavirus	68	480	1	1248	431	358	54.756	4.58	111	9	0
ehbv-avi.1-Eopsaltria_australis	1	ehbv-avi.1	Eopsaltria_australis	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Petroicidae	Eopsaltria	eyr_v1	GCA_003426825.1_eyr_v1_genomic.fna	QKXG01011186.1	-	477310	479977	2668	avi.1-neoaves	Avihepadnavirus	178	713	369	1916	550	355	46.364	2.12	126	10	0
ehbv-avi.1-Apaloderma_vittatum	1	ehbv-avi.1	Apaloderma_vittatum	Aves	Neognathae	Neoaves	Inopaves	Coraciimorphae	Trogoniformes	Trogonidae	Apaloderma	bgi_2011-10-28	Apaloderma_vittatum.scaf.noBacterial.fa	scaffold16435	-	88084	90839	2756	avi.1-neoaves	Avihepadnavirus	706	983	1833	2756	317	348	60.883	6.49	144	6	0
ehbv-avi.1-Amazona_vittata	1	ehbv-avi.1	Amazona_vittata	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Psittaciformes	Psittacidae	Amazona	AV1	GCA_000332375.1_AV1_genomic.fna	KB272672.1	-	8627	11327	2701	avi.1-neoaves	Avihepadnavirus	726	983	1871	2701	282	345	67.021	0	1	3	0
ehbv-avi.1-Buceros_rhinoceros	1	ehbv-avi.1	Buceros_rhinoceros	Aves	Neognathae	Neoaves	Inopaves	Coraciimorphae	Bucerotiformes	Bucerotidae	Buceros	bgi_2011-10-28	Buceros_rhinoceros_silvestris.scaf.noBacterial.fa	scaffold36794	-	11126	13332	2207	avi.1-neoaves	Avihepadnavirus	568	901	964	1950	351	345	56.41	0	1	8	0
ehbv-avi.1-Ardeotis_arabs	1	ehbv-avi.1	Ardeotis_arabs	Aves	Neognathae	Neoaves	NULL	NULL	Gruiformes	Otididae	Ardeotis	REN_Aarabs_1.0	GCA_011801015.1_REN_Aarabs_1.0_genomic.fna	JAAGAY010031059.1	+	32	1548	1517	avi.1-neoaves	Avihepadnavirus	676	894	611	1270	220	328	77.727	0	1	1	0
ehbv-avi.1-Antrostomus_carolinensis	1	ehbv-avi.1	Antrostomus_carolinensis	Aves	Neognathae	Neoaves	NULL	Strisores	Caprimulgiformes	Caprimulgidae	Caprimulgus	bgi_2011-10-28	Antrostomus_carolinensis.scaf.noBacterial.fa	scaffold16207	-	67040	69954	2915	avi.1-neoaves	Avihepadnavirus	222	558	678	1697	350	318	60.857	0	1	7	0
ehbv-avi.1-Geospiza_fortis	1	ehbv-avi.1	Geospiza_fortis	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Thraupidae	Geospiza	goldenpath_geoFor1	geoFor1.fa_2.fa	JH740002	-	2041096	2042734	1639	avi.1-neoaves	Avihepadnavirus	628	983	578	1639	366	311	56.557	9.89	98	5	0
ehbv-avi.1-Bubo_blakistoni	1	ehbv-avi.1	Bubo_blakistoni	Aves	Neognathae	Neoaves	NULL	NULL	Strigiformes	Strigidae	Bubo	ver1.0	GCA_004320225.1_Bubo_blakistoni_ver1.0_genomic.fna	BJCB01005125.1	+	131942	134517	2576	avi.1-neoaves	Avihepadnavirus	293	494	528	1133	202	307	75.248	0	1	0	0
ehbv-avi.1-Zosterops_lateralis	1	ehbv-avi.1	Zosterops_lateralis	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Zosteropidae	Zosterops	ASM128173v1	GCA_001281735.1_ASM128173v1_genomic.fna	LAII01000013.1	+	334452	335701	1250	avi.1-neoaves	Avihepadnavirus	628	983	195	1250	365	295	49.589	2.55	93	7	0
ehbv-avi.1-Sporophila_hypoxantha	1	ehbv-avi.1	Sporophila_hypoxantha	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Thraupidae	Sporophila	SpoHypox2.0	GCA_002167245.1_SpoHypox2.0_genomic.fna	NDFG01001561.1	+	2895886	2897525	1640	avi.1-neoaves	Avihepadnavirus	669	983	696	1640	324	291	54.63	2.45	90	5	0
ehbv-avi.1-Lepidothrix_coronata	1	ehbv-avi.1	Lepidothrix_coronata	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Pipridae	Lepidothrix	1	GCA_001604755.1_Lepidothrix_coronata-1.0_genomic.fa	KV388162.1	+	2223998	2226884	2887	avi.1-neoaves	Avihepadnavirus	509	856	1485	2525	367	279	48.774	0	1	10	0
ehbv-avi.1-Phaethon_lepturus	1	ehbv-avi.1	Phaethon_lepturus	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Pelecaniformes	Phaethontidae	Phaethon	bgi_2011-10-28	Phaethon_lepturus.scaf.noBacterial.fa	scaffold3985	-	92802	94412	1611	avi.1-neoaves	Avihepadnavirus	729	983	859	1611	277	278	58.123	8.99	86	7	0
ehbv-avi.1-Patagioenas_fasciata	1	ehbv-avi.1	Patagioenas_fasciata	Aves	Neognathae	Neoaves	NULL	Columbaves	Columbiformes	Columbidae	Patagioenas	NIATT_ARIZONA	GCA_002029285.1_NIATT_ARIZONA_genomic.fna	LSYS01004095.1	-	2543840	2544457	618	avi.1-neoaves	Avihepadnavirus	810	983	1	618	206	274	68.932	5.81	89	1	0
ehbv-avi.1-Haliaeetus_leucocephalus	1	ehbv-avi.1	Haliaeetus_leucocephalus	Aves	Neognathae	Neoaves	NULL	NULL	Accipitriformes	Accipitridae	Haliaeetus	bgi_2012-03-16	Haliaeetus_leucocephalus.fa	Scaffold2403	-	139494	142632	3139	avi.1-neoaves	Avihepadnavirus	8	231	4	681	236	266	64.831	0	1	6	0
ehbv-avi.1-Molothrus_ater	1	ehbv-avi.1	Molothrus_ater	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Icteridae	Molothrus	BPBGC_Mater_1.0	GCA_012460135.1_BPBGC_Mater_1.0_genomic.fna	CM022840.1	-	79893948	79895571	1624	avi.1-neoaves	Avihepadnavirus	719	983	830	1624	279	266	54.839	2.58	93	8	0
ehbv-avi.1-Cariama_cristata	1	ehbv-avi.1	Cariama_cristata	Aves	Neognathae	Neoaves	NULL	NULL	Gruiformes	Cariamidae	Cariama	bgi_2011-10-28	Cariama_cristata.scaf.noBacterial.fa	scaffold329	+	14075	17036	2962	avi.1-neoaves	Avihepadnavirus	830	983	2480	2962	161	257	80.124	0	1	1	0
ehbv-avi.1-Pipra_filicauda	1	ehbv-avi.1	Pipra_filicauda	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Pipridae	Pipra	ASM394559v1	GCF_003945595.1_ASM394559v1_genomic.fna	NW_020895070.1	+	173627	176458	2832	avi.1-neoaves	Avihepadnavirus	559	856	1580	2470	316	253	48.734	3.3	180	8	0
ehbv-avi.1-Empidonax_traillii	1	ehbv-avi.1	Empidonax_traillii	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Tyrannidae	Empidonax	GCA_003031625	GCA_003031625.1_ASM303162v1_genomic.fna	PWAB01000589.1	-	230045	232445	2401	avi.1-neoaves	Avihepadnavirus	559	856	1171	2058	318	253	49.371	4.28	104	8	0
ehbv-avi.1-Corapipo_altera	1	ehbv-avi.1	Corapipo_altera	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Pipridae	Corapipo	ASM394572v1	GCF_003945725.1_ASM394572v1_genomic.fna	NW_020884872.1	-	69470292	69473125	2834	avi.1-neoaves	Avihepadnavirus	563	856	1588	2472	312	252	48.397	0	1	6	0
ehbv-avi.1-Nannopterum_brasilianus	1	ehbv-avi.1	Nannopterum_brasilianus	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Pelecaniformes	Phalacrocoracidae	Nannopterum	ASM210954v1	GCA_002174335.1_ASM217433v1_genomic.fna	NFME01223638.1	-	6	746	741	avi.1-neoaves	Avihepadnavirus	293	494	1	606	217	251	63.594	8.3	80	6	0
ehbv-avi.1-Nannopterum_harrisi	1	ehbv-avi.1	Nannopterum_harrisi	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Pelecaniformes	Phalacrocoracidae	Nannopterum	Pharrisi_ref_V1	GCA_002173475.1_Pharrisi_ref_V1_genomic.fna	NEVG01000146.1	+	1031483	1033421	1939	avi.1-neoaves	Avihepadnavirus	293	494	856	1461	203	250	65.517	1.58	130	2	0
ehbv-avi.1-Nannopterum_brasilianus	1	ehbv-avi.1	Nannopterum_brasilianus	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Pelecaniformes	Phalacrocoracidae	Nannopterum	ASM210954v1	GCA_002174335.1_ASM217433v1_genomic.fna	NFME01007800.1	-	89566	91504	1939	avi.1-neoaves	Avihepadnavirus	293	494	856	1461	203	250	65.517	3.34	129	2	0
ehbv-avi.1-Phalacrocorax_harrisi	1	ehbv-avi.1	Phalacrocorax_harrisi	Aves	Neognathae	Neoaves	NULL	Aequorlitornithes	Pelecaniformes	Phalacrocoracidae	Nannopterum	Pharrisi_ref_V1	GCA_002173475.1_Pharrisi_ref_V1_genomic.fna	NEVG01000146.1	+	1031483	1033421	1939	avi.1-neoaves	Avihepadnavirus	293	494	856	1461	203	250	65.517	1.58	130	2	0
ehbv-avi.1-Saxicola_maurus	1	ehbv-avi.1	Saxicola_maurus	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Muscicapidae	Saxicola	Saxicola_maurus.2	GCA_900205225.1_Saxicola_maurus.2_genomic.fna	OAMK01000002.1	+	18485415	18486449	1035	avi.1-neoaves	Avihepadnavirus	800	968	523	1026	169	249	72.189	1.86	77	1	0
ehbv-avi.1-Psittacula_krameri	1	ehbv-avi.1	Psittacula_krameri	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Psittaciformes	Psittacidae	Psittacula	P.krameri1.0	GCA_002870145.1_P.krameri1.0_genomic.fna	NFZL01000130.1	-	464005	469319	5315	avi.1-neoaves	Avihepadnavirus	726	923	4490	5131	220	248	66.364	1.1	112	6	0
ehbv-avi.1-Hemignathus_virens	1	ehbv-avi.1	Hemignathus_virens	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Fringillidae	Hemignathus	ASM328649v1	GCA_003286495.1_ASM328649v1_genomic.fna	LTAT01000001.1	+	50758819	50760491	1673	avi.1-neoaves	Avihepadnavirus	781	983	1095	1673	203	245	63.547	4.37	103	2	0
